三級,#genre#
蜜桃成熟時33D,https://v5.jindangao.com/jj/j4/11/hls/index.m3u8
蜜桃成熟時3個蜜桃仙子,https://v5.jindangao.com/jj/j4/13/hls/index.m3u8
燕婦轉世1,https://v5.jindangao.com/fff/ff9/23/hls/index.m3u8
燕婦轉世2,https://v5.jindangao.com/fff/ff9/24/hls/index.m3u8
獸生秀惑之赤果生遊戲2000,https://v6.jindangao.com/hj/hj2/hj23/25/hls/index.m3u8
屠夫,https://v6.jindangao.com/hj/hj2/hj24/38/hls/index.m3u8
貼身保鑣,https://v6.jindangao.com/hj/hj2/hj24/31/hls/index.m3u8
舒淇早期激青合集,https://v6.jindangao.com/hj/hj2/hj25/36/hls/index.m3u8
燕鬼冤魂,https://v6.jindangao.com/hj/hj2/hj27/34/hls/index.m3u8
夜半思孚時,https://v6.jindangao.com/hj/hj2/hj28/1/hls/index.m3u8
越軌之狼完整版,https://v6.jindangao.com/hj/hj2/hj29/12/hls/index.m3u8
外文初夜青,https://v6.jindangao.com/hj/hj1/hj3/22/hls/index.m3u8
我為卿狂,https://v5.jindangao.com/fff/ff7/21/hls/index.m3u8
水滸傳之英雄好攝,https://v5.jindangao.com/gg/g9/23/hls/index.m3u8
玉火狂蜜,https://v6.jindangao.com/hj/hj2/hj28/44/hls/index.m3u8
滿清十大酷刑,https://v5.jindangao.com/jj/j1/46/hls/index.m3u8
劍奴,https://v5.jindangao.com/ff/f4/4/hls/index.m3u8
婚前試愛,https://v5.jindangao.com/ff/f2/7/hls/index.m3u8
我來自北京,https://v5.jindangao.com/fff/ff7/8/hls/index.m3u8
竹本玉蒲團,https://v5.jindangao.com/fff/ff0/38/hls/index.m3u8
人肉叉燒包,https://v6.jindangao.com/v26/26/600kb/hls/index.m3u8
生氣功之探秘,https://v5.jindangao.com/hh/h2/17/hls/index.m3u8
青樓十二戶國粵雙語,https://v5.jindangao.com/nn/n9/51/hls/index.m3u8
與蛇共舞,https://v5.jindangao.com/hh/h6/27/hls/index.m3u8
聊齋花弄月,https://v5.jindangao.com/eee/ee10/14/hls/index.m3u8
風月奇譚,https://v5.jindangao.com/ll/l5/38/hls/index.m3u8
唐朝禁宮風月,https://v5.jindangao.com/gg/g10/26/hls/index.m3u8
攝玉怪談之魔姦贏者,https://v5.jindangao.com/gg/g5/21/hls/index.m3u8
贏魔暴行,https://v5.jindangao.com/oo/o10/18/hls/index.m3u8
櫻花劫,https://v5.jindangao.com/hh/h7/24/hls/index.m3u8
lBiZa,#genre#

XXX tv,https://vod.mycamtv.net/13163.m3u8
XXX ,https://vod.mycamtv.net/13164.m3u8
lBiZatv,https://vod.mycamtv.net/13165.m3u8
lBiZatv1,https://vod.mycamtv.net/13166.m3u8
lBiZatv2,https://vod.mycamtv.net/13167.m3u8
lBiZatv3,https://vod.mycamtv.net/13168.m3u8
lBiZatv4,https://vod.mycamtv.net/13169.m3u8
lBiZatv5,https://vod.mycamtv.net/13170.m3u8
lBiZatv6,https://vod.mycamtv.net/13171.m3u8
红松05,https://vod.mycamtv.net/13172.m3u8
红松06,https://vod.mycamtv.net/13173.m3u8
lBiZatv7,https://vod.mycamtv.net/13174.m3u8
lBiZatv8,https://vod.mycamtv.net/13175.m3u8
lBiZatv9,https://vod.mycamtv.net/13176.m3u8

GOOD系列,#genre#

GOOD2真理台,http://live.streamingfast.net/osmflivech2.m3u8
GOOD真情部落格,http://live.streamingfast.net/osmflivech3.m3u8
GOOD共享觀點,http://live.streamingfast.net/osmflivech5.m3u8
GOOD經典音樂,http://live.streamingfast.net/osmflivech6.m3u8
GOOD禱告大軍,http://live.streamingfast.net/osmflivech7.m3u8
GOOD幸福學堂,http://live.streamingfast.net/osmflivech8.m3u8
GOOD愛+好醫生,http://live.streamingfast.net/osmflivech9.m3u8
GOOD烤箱讀書會,http://live.streamingfast.net/osmflivech10.m3u8
GOOD我們EYE旅行,http://live.streamingfast.net/osmflivech11.m3u8
GOOD孫叔唱副歌,http://live.streamingfast.net/osmflivech12.m3u8
GOOD健康新煮流,http://live.streamingfast.net/osmflivech13.m3u8
GOOD真情部落格,http://live.streamingfast.net/osmflivech14.m3u8
