台灣,#genre#
台灣TVBS News 新聞,https://smart.pendy.dpdns.org/Smart.php?id=tvbs_n
台灣TVBS 歡樂台 （備份）,https://smart.pendy.dpdns.org/Smart.php?id=tvbshuanle_twn
台灣TVBS HD,https://smart.pendy.dpdns.org/Smart.php?id=tvbs
台灣中天新聞 HD,https://smart.pendy.dpdns.org/Smart.php?id=ctinews
台灣中天娛樂 CTI Entertaiment,https://smart.pendy.dpdns.org/Smart.php?id=ctient
台灣中天綜合 CTI Metro,https://smart.pendy.dpdns.org/Smart.php?id=ctizhonghe
台灣中天亞洲台,https://smart.pendy.dpdns.org/Smart.php?id=ctiasia_twn
台灣台視 TTV HD,https://smart.pendy.dpdns.org/Smart.php?id=ttv_taiwan
台灣台視新聞,https://smart.pendy.dpdns.org/Smart.php?id=ttvnews_twn
台灣台視綜合台,https://smart.pendy.dpdns.org/Smart.php?id=ttvzhonghe
台灣中視 HD,https://smart.pendy.dpdns.org/Smart.php?id=zhongshihd_twn
台灣中視新聞,https://smart.pendy.dpdns.org/Smart.php?id=zhongshinews_twn
台灣民視 HD,https://smart.pendy.dpdns.org/Smart.php?id=ftvhd_taiwan
台灣民視新聞 FTV News,https://smart.pendy.dpdns.org/Smart.php?id=ftvnew_taiwan
台灣民視台灣台,https://smart.pendy.dpdns.org/Smart.php?id=ftvtaiwan_twn
台灣華視 CTS HD,https://smart.pendy.dpdns.org/Smart.php?id=ctshd_twn
台灣公視 CTV,https://smart.pendy.dpdns.org/Smart.php?id=ctv18_twn
台灣八大第一 GTV First,https://smart.pendy.dpdns.org/Smart.php?id=badafirst
台灣八大綜合 GTV Metro,https://smart.pendy.dpdns.org/Smart.php?id=badazhonghe
台灣八大戲劇 GTV Drama,https://smart.pendy.dpdns.org/Smart.php?id=badadrama
台灣八大娛樂 GTV Entertainment,https://smart.pendy.dpdns.org/Smart.php?id=badaentertain
台灣HBO_HD,https://smart.pendy.dpdns.org/Smart.php?id=hbohd_twn
台灣HBO_HITS,https://smart.pendy.dpdns.org/Smart.php?id=hbohit_twn
台灣Hollywood Movies,https://smart.pendy.dpdns.org/Smart.php?id=hollywoodmovies_twn
台灣三立台灣 Sanli Taiwan,https://smart.pendy.dpdns.org/Smart.php?id=sanlitaiwan
台灣三立戲劇台,https://smart.pendy.dpdns.org/Smart.php?id=sanlixiju_twn
台灣三立綜合 Sanli Metro,https://smart.pendy.dpdns.org/Smart.php?id=sanlizhonghe
台灣三立都會台,https://smart.pendy.dpdns.org/Smart.php?id=sanlidouhui
台灣東森新聞 ETTV News,https://smart.pendy.dpdns.org/Smart.php?id=ettvnews
台灣CINEMAX,https://smart.pendy.dpdns.org/Smart.php?id=cinemax_twn
