臺灣/TW,#genre#
民視HD,http://szx.putids.com/proxy/xgxg.php?id=51
台視HD,http://szx.putids.com/proxy/xgxg.php?id=52
中視HD,http://szx.putids.com/proxy/xgxg.php?id=53
華視HD,http://szx.putids.com/proxy/xgxg.php?id=54
公視HD,http://szx.putids.com/proxy/xgxg.php?id=55
三立綜合台,http://szx.putids.com/proxy/xgxg.php?id=57
三立台灣台,http://szx.putids.com/proxy/xgxg.php?id=58
八大綜合台,http://szx.putids.com/proxy/xgxg.php?id=60
八大第一台,http://szx.putids.com/proxy/xgxg.php?id=61
八大戲劇台,http://szx.putids.com/proxy/xgxg.php?id=62
愛爾達綜合,http://szx.putids.com/proxy/xgxg.php?id=63
愛爾達影劇,http://szx.putids.com/proxy/xgxg.php?id=64
中天綜合台,http://szx.putids.com/proxy/xgxg.php?id=65
中天亞洲台,http://szx.putids.com/proxy/xgxg.php?id=146
中天娛樂台,http://szx.putids.com/proxy/xgxg.php?id=147
CN卡通,http://szx.putids.com/proxy/xgxg.php?id=66
東森綜合台,http://szx.putids.com/proxy/xgxg.php?id=67
東森戲劇台,http://szx.putids.com/proxy/xgxg.php?id=68
美食星球檯,http://szx.putids.com/proxy/xgxg.php?id=69
亞洲美食台,http://szx.putids.com/proxy/xgxg.php?id=70
亞洲旅遊台,http://szx.putids.com/proxy/xgxg.php?id=71
爱尔达体育1,http://szx.putids.com/proxy/xgxg.php?id=72
爱尔达体育2,http://szx.putids.com/proxy/xgxg.php?id=73
爱尔达体育3,http://szx.putids.com/proxy/xgxg.php?id=74
爱尔达体育4,http://szx.putids.com/proxy/xgxg.php?id=75
探索台灣,http://szx.putids.com/proxy/xgxg.php?id=76
Discovery HD,http://szx.putids.com/proxy/xgxg.php?id=77
东森新闻,http://szx.putids.com/proxy/xgxg.php?id=78
寰宇新闻,http://szx.putids.com/proxy/xgxg.php?id=131
TVBSa,http://szx.putids.com/proxy/xgxg.php?id=153
TVBSHD,http://szx.putids.com/proxy/xgxg.php?id=79
TVBS新闻,http://szx.putids.com/proxy/xgxg.php?id=80
中视新闻,http://szx.putids.com/proxy/xgxg.php?id=82
台视新闻,http://szx.putids.com/proxy/xgxg.php?id=83
中天新闻,http://szx.putids.com/proxy/xgxg.php?id=84
中天新闻2,http://szx.putids.com/proxy/xgxg.php?id=85
龍詳時代台,http://szx.putids.com/proxy/xgxg.php?id=86
東森電影台,http://szx.putids.com/proxy/xgxg.php?id=87
